Komoditas,Tingkat_Risiko,Prioritas,Kapan_Beli,Jumlah_Stok,Status,Harga_Normal,Harga_Puncak,Selisih,Potensi_Hemat,Kenaikan_Rata,Kenaikan_Maks,Minggu_Puncak,Volatilitas_CV,Risk_Score,Rekomendasi
Beras,RENDAH,PRIORITAS 4,Timing fleksibel,Stok normal 1-2 minggu,RELATIF STABIL,"Rp 14,475","Rp 14,848",Rp 372,2.5%,-1.3%,0.7%,H-4,1.37,27.9,Timing fleksibel. Stok normal 1-2 minggu. Hemat 2.5%.
Gula Pasir,RENDAH,PRIORITAS 4,Timing fleksibel,Stok normal 1-2 minggu,RELATIF STABIL,"Rp 16,638","Rp 16,884",Rp 0,0.0%,0.2%,3.5%,H+3,0.17,5.6,Timing fleksibel. Stok normal 1-2 minggu. Harga stabil sepanjang periode.
Minyak Goreng,RENDAH,PRIORITAS 4,Timing fleksibel,Stok normal 1-2 minggu,RELATIF STABIL,"Rp 18,994","Rp 19,007",Rp 0,0.0%,0.1%,0.9%,H-2,0.06,1.8,Timing fleksibel. Stok normal 1-2 minggu. Harga stabil sepanjang periode.
Daging Sapi,RENDAH,PRIORITAS 4,Timing fleksibel,Stok normal 1-2 minggu,RELATIF STABIL,"Rp 116,894","Rp 119,474","Rp 2,580",2.2%,0.6%,4.3%,H+0,0.12,5.0,Timing fleksibel. Stok normal 1-2 minggu. Hemat 2.2%.
Daging Ayam,SEDANG,PRIORITAS 3,Beli 2-3 minggu sebelum,Stok 2-3 minggu,RELATIF STABIL,"Rp 34,741","Rp 38,212","Rp 3,472",9.1%,-1.4%,2.0%,H+0,1.87,38.6,Beli 2-3 minggu sebelum. Stok 2-3 minggu. Hemat 9.1%.
Telur Ayam,RENDAH,PRIORITAS 4,Timing fleksibel,Stok normal 1-2 minggu,RELATIF STABIL,"Rp 27,402","Rp 27,194",Rp 0,0.0%,-4.9%,0.0%,H-4,0.97,19.5,Timing fleksibel. Stok normal 1-2 minggu. Harga stabil sepanjang periode.
Bawang Merah,SANGAT TINGGI,PRIORITAS 1,Beli 4+ minggu sebelum,Stok 1-2 bulan,SERING KRISIS,"Rp 27,564","Rp 36,958","Rp 9,394",25.4%,22.9%,78.8%,H+2,1.21,93.6,"Beli 4+ minggu sebelum. Stok 1-2 bulan. Hemat 25.4% (~Rp 9,394)."
Bawang Putih,TINGGI,PRIORITAS 2,Beli 3-4 minggu sebelum,Stok 3-4 minggu,KADANG KRISIS,"Rp 33,972","Rp 36,568","Rp 2,596",7.1%,12.2%,25.2%,H+1,0.83,40.6,Beli 3-4 minggu sebelum. Stok 3-4 minggu. Hemat 7.1%.
Cabai Merah,RENDAH,PRIORITAS 4,Timing fleksibel,Stok normal 1-2 minggu,RELATIF STABIL,"Rp 52,562","Rp 51,690",Rp 0,0.0%,-23.8%,0.0%,H-4,0.46,9.2,Timing fleksibel. Stok normal 1-2 minggu. Harga stabil sepanjang periode.
Cabai Rawit,RENDAH,PRIORITAS 4,Timing fleksibel,Stok normal 1-2 minggu,RELATIF STABIL,"Rp 61,646","Rp 65,038","Rp 3,392",5.2%,-33.2%,0.0%,H-4,0.56,11.3,Timing fleksibel. Stok normal 1-2 minggu. Hemat 5.2%.
